Strain,Temperature,TraitValue,Trait,TemperatureUnits,TraitUnits,Phylum,Class,Order,Family,Genus,Species
04_04_02,5,0.720611232,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,10,1.22592386,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,10,0.800104662,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,10,0.81766265,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,10,0.765613418,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,15,1.820084816,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,15,1.260524243,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,15,1.4777109,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,15,1.685697443,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,19,1.496036759,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,19,2.086816436,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,19,2.188189899,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,19,1.899549274,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,21,2.587927351,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,23,2.457392443,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,23,2.944781751,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,23,3.265439552,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,23,3.058341704,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,25,3.595174273,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,25,3.123338214,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,25,3.404864752,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,25,4.026930742,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,30,2.780367833,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,30,2.911580872,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,30,3.479502382,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,30,3.402648679,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_04,5,0.037373434,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,5,0.047003245,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,5,0.046258141,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,5,0.082073928,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,10,0.075311711,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,10,0.088898041,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,10,0.043788365,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,10,0.027086586,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,15,0.104232966,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,15,0.030348098,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,15,0.112443457,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,15,0.137197684,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,19,0.148859653,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,19,0.121373064,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,19,0.165438031,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,21,0.226723626,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,21,0.314033485,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,23,0.152025131,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,23,0.065983082,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,23,0.184682997,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,23,0.202374124,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,25,0.206986184,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,25,0.098348896,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,25,0.04781445,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,25,0.022093542,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,5,0.160968554,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,5,0.153680956,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,5,0.16874202,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,5,0.196980518,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,10,0.302103688,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,10,0.227428752,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,10,0.199529672,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,10,0.141319592,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,15,0.381720531,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,15,0.417970629,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,15,0.416314435,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,15,0.30879481,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,19,0.44258855,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,19,0.544020347,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,19,0.423201724,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,21,0.524981363,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,21,0.657118667,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,23,0.578949802,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,23,0.69494269,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,23,0.778781148,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,23,0.845494123,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,25,0.492320523,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,25,0.737743507,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,25,0.690974839,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_04,25,0.617456111,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
04_04_05,15,0.171729407,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,15,0.227701899,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,15,0.302675191,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,15,0.279701787,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,19,0.268090277,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,19,0.26596385,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,19,0.359009084,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,19,0.366640357,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,21,0.437077102,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,21,0.387555475,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,21,0.513047999,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,23,0.587119135,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,23,0.51287767,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,23,0.61770878,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,23,0.556934928,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,25,0.432336245,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,25,0.503554361,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,25,0.611983599,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,25,0.593526881,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,30,0.299361839,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,30,0.514843868,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,30,0.45855498,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,30,0.27888948,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,35,0.080740928,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,35,0.105178844,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,35,0.180632431,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,35,0.145447841,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,15,0.394389077,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,15,0.486042521,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,15,0.534729991,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,15,0.324610273,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,19,0.518905043,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,19,0.439233619,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,19,0.507924111,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,19,0.549919878,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,21,0.593970807,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,21,0.490319327,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,21,0.520158839,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,23,0.734935729,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,23,0.9045305,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,23,0.90934089,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,23,0.829715258,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,25,1.299226507,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,25,0.975832683,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,25,0.955742274,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,25,1.127139756,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,30,1.776429724,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,30,1.771076855,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,30,1.627598323,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,30,2.007226031,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,35,1.438716268,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,35,1.958803096,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,35,1.812306785,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_05,35,1.954822703,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,weihenstephanensis
04_04_06,10,0.009136141,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_06,10,0.036391047,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_06,10,0.015692816,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_06,15,0.059605614,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_06,15,0.042204881,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_06,15,0.036342076,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
